"day","timeslot_from","calculated_datetime","grid_unit","avail_area_ratio"
"2018-01-08","05:30","2017-12-20 16:00:04","1",0
"2018-01-08","06:00","2017-12-20 16:00:04","1",0.37
"2018-01-08","06:00","2018-01-03 07:05:44","1",0.37
"2018-01-08","06:00","2018-01-03 08:14:53","1",0.37
"2018-01-08","06:00","2018-01-03 08:16:26","1",0.37
"2018-01-08","06:00","2018-01-03 10:33:31","1",0.37
"2018-01-08","06:00","2018-01-04 07:35:26","1",0.37
"2018-01-08","06:00","2018-01-05 07:39:47","1",0.37
"2018-01-08","06:00","2018-01-05 09:36:17","1",0.25
"2018-01-08","06:00","2018-01-05 09:44:29","1",0.37
"2018-01-08","06:00","2018-01-05 09:45:55","1",0
"2018-01-08","06:00","2018-01-05 09:54:09","1",0
"2018-01-08","06:00","2018-01-05 10:15:30","1",0.37
"2018-01-08","06:00","2018-01-05 10:48:18","1",0
"2018-01-08","06:00","2018-01-05 11:03:37","1",0.13
"2018-01-08","06:00","2018-01-05 11:21:11","1",0.37
"2018-01-08","06:00","2018-01-05 11:57:14","1",0.06
"2018-01-08","06:00","2018-01-05 12:23:48","1",0
"2018-01-08","06:00","2018-01-05 12:33:44","1",0.19
"2018-01-08","06:00","2018-01-05 12:47:27","1",0.37
"2018-01-08","06:00","2018-01-05 13:22:52","1",0
"2018-01-08","06:00","2018-01-05 13:27:39","1",0
"2018-01-08","06:00","2018-01-05 13:47:24","1",0
"2018-01-08","06:00","2018-01-05 14:18:46","1",0
"2018-01-08","06:00","2018-01-05 14:29:38","1",0
"2018-01-08","06:00","2018-01-05 14:42:53","1",0.37
"2018-01-08","06:00","2018-01-05 14:54:25","1",0.37
"2018-01-08","06:00","2018-01-05 15:59:54","1",0
"2018-01-08","06:00","2018-01-05 16:02:08","1",0.25
"2018-01-08","06:00","2018-01-05 16:29:22","1",0.37
"2018-01-08","06:00","2018-01-05 16:32:34","1",0.13
"2018-01-08","06:00","2018-01-05 17:54:24","1",0
"2018-01-08","06:00","2018-01-05 17:55:50","1",0
"2018-01-08","06:00","2018-01-05 21:09:55","1",0.37
"2018-01-08","06:00","2018-01-05 23:29:06","1",0.06
"2018-01-08","06:00","2018-01-05 23:37:46","1",0
"2018-01-08","06:00","2018-01-06 13:07:32","1",0
"2018-01-08","06:00","2018-01-06 13:14:21","1",0
"2018-01-08","06:00","2018-01-06 13:20:43","1",0
"2018-01-08","06:00","2018-01-06 13:28:03","1",0
"2018-01-08","06:00","2018-01-06 13:33:32","1",0
"2018-01-08","06:00","2018-01-06 14:32:56","1",0.13
"2018-01-08","06:00","2018-01-06 15:58:24","1",0.25
"2018-01-08","06:00","2018-01-06 16:25:45","1",0
"2018-01-08","06:00","2018-01-06 16:57:40","1",0.06
"2018-01-08","06:00","2018-01-06 17:43:06","1",0
"2018-01-08","06:00","2018-01-06 17:58:43","1",0
"2018-01-08","06:00","2018-01-06 17:59:30","1",0
"2018-01-08","06:00","2018-01-06 19:02:15","1",0
"2018-01-08","06:00","2018-01-06 19:04:04","1",0
"2018-01-08","06:00","2018-01-06 19:07:24","1",0.37
"2018-01-08","06:00","2018-01-06 19:39:48","1",0
"2018-01-08","06:00","2018-01-06 21:11:50","1",0
"2018-01-08","06:00","2018-01-06 21:29:13","1",0
"2018-01-08","06:00","2018-01-07 00:24:52","1",0
"2018-01-08","06:00","2018-01-07 11:31:33","1",0
"2018-01-08","06:00","2018-01-07 11:39:45","1",0
"2018-01-08","06:00","2018-01-07 12:21:57","1",0
"2018-01-08","06:00","2018-01-07 12:32:14","1",0
"2018-01-08","06:00","2018-01-07 15:10:51","1",0.37
"2018-01-08","06:00","2018-01-07 15:29:36","1",0
"2018-01-08","06:00","2018-01-07 15:54:28","1",0
"2018-01-08","06:00","2018-01-07 16:39:23","1",0
"2018-01-08","06:00","2018-01-07 17:47:06","1",0
"2018-01-08","06:00","2018-01-07 17:50:47","1",0
"2018-01-08","06:00","2018-01-07 18:41:04","1",0.06
"2018-01-08","06:00","2018-01-07 18:46:20","1",0
"2018-01-08","06:00","2018-01-07 19:46:51","1",0
"2018-01-08","06:00","2018-01-07 20:06:23","1",0.06
"2018-01-08","06:00","2018-01-07 20:41:22","1",0.13
"2018-01-08","06:00","2018-01-07 21:25:01","1",0
"2018-01-08","06:00","2018-01-07 21:26:11","1",0
"2018-01-08","06:00","2018-01-07 21:28:48","1",0
"2018-01-08","06:00","2018-01-07 21:29:44","1",0
"2018-01-08","06:00","2018-01-07 21:39:47","1",0
"2018-01-08","06:00","2018-01-07 21:48:46","1",0
"2018-01-08","06:00","2018-01-07 21:49:41","1",0
"2018-01-08","06:30","2017-12-20 16:00:04","1",0.81
"2018-01-08","06:30","2018-01-04 17:10:43","1",0.81
"2018-01-08","06:30","2018-01-04 17:38:16","1",0.81
"2018-01-08","06:30","2018-01-04 18:29:47","1",0.81
"2018-01-08","06:30","2018-01-04 18:53:03","1",0.81
"2018-01-08","06:30","2018-01-04 19:44:50","1",0.81
"2018-01-08","06:30","2018-01-04 19:59:29","1",0.81
"2018-01-08","06:30","2018-01-04 20:45:00","1",0.81
"2018-01-08","06:30","2018-01-04 21:19:26","1",0.81
"2018-01-08","06:30","2018-01-04 21:48:18","1",0.81
"2018-01-08","06:30","2018-01-04 22:06:50","1",0.81
"2018-01-08","06:30","2018-01-05 06:07:29","1",0.81
"2018-01-08","06:30","2018-01-05 07:37:06","1",0.75
"2018-01-08","06:30","2018-01-05 07:39:47","1",0.81
"2018-01-08","06:30","2018-01-05 07:50:48","1",0.81
"2018-01-08","06:30","2018-01-05 07:54:09","1",0.81
"2018-01-08","06:30","2018-01-05 08:14:41","1",0.81
"2018-01-08","06:30","2018-01-05 08:52:38","1",0.62
"2018-01-08","06:30","2018-01-05 09:15:54","1",0.81
"2018-01-08","06:30","2018-01-05 09:17:57","1",0.81
"2018-01-08","06:30","2018-01-05 09:28:09","1",0.81
"2018-01-08","06:30","2018-01-05 09:28:58","1",0.69
"2018-01-08","06:30","2018-01-05 09:36:17","1",0.62
"2018-01-08","06:30","2018-01-05 09:44:29","1",0.81
"2018-01-08","06:30","2018-01-05 09:45:55","1",0.62
"2018-01-08","06:30","2018-01-05 09:54:09","1",0.62
"2018-01-08","06:30","2018-01-05 10:15:30","1",0.62
"2018-01-08","06:30","2018-01-05 10:48:18","1",0.62
"2018-01-08","06:30","2018-01-05 11:03:37","1",0.62
"2018-01-08","06:30","2018-01-05 11:21:11","1",0.62
"2018-01-08","06:30","2018-01-05 11:57:14","1",0.62
"2018-01-08","06:30","2018-01-05 12:23:48","1",0.62
"2018-01-08","06:30","2018-01-05 12:33:44","1",0.62
"2018-01-08","06:30","2018-01-05 12:47:27","1",0.62
"2018-01-08","06:30","2018-01-05 13:22:52","1",0
"2018-01-08","06:30","2018-01-05 13:27:39","1",0
"2018-01-08","06:30","2018-01-05 13:47:24","1",0
"2018-01-08","06:30","2018-01-05 14:18:46","1",0
"2018-01-08","06:30","2018-01-05 14:29:38","1",0
"2018-01-08","06:30","2018-01-05 14:42:53","1",0.13
"2018-01-08","06:30","2018-01-05 14:54:25","1",0.25
"2018-01-08","06:30","2018-01-05 15:59:54","1",0
"2018-01-08","06:30","2018-01-05 16:02:08","1",0
"2018-01-08","06:30","2018-01-05 16:29:22","1",0.81
"2018-01-08","06:30","2018-01-05 16:32:34","1",0
"2018-01-08","06:30","2018-01-05 17:54:24","1",0
"2018-01-08","06:30","2018-01-05 17:55:50","1",0
"2018-01-08","06:30","2018-01-05 21:09:55","1",0.81
"2018-01-08","06:30","2018-01-05 23:29:06","1",0
"2018-01-08","06:30","2018-01-05 23:37:46","1",0
"2018-01-08","06:30","2018-01-06 12:08:11","1",0
"2018-01-08","06:30","2018-01-06 13:07:32","1",0
"2018-01-08","06:30","2018-01-06 13:14:21","1",0
"2018-01-08","06:30","2018-01-06 13:20:43","1",0
"2018-01-08","06:30","2018-01-06 13:28:03","1",0
"2018-01-08","06:30","2018-01-06 13:33:32","1",0
"2018-01-08","06:30","2018-01-06 14:32:56","1",0.12
"2018-01-08","06:30","2018-01-06 15:58:24","1",0
"2018-01-08","06:30","2018-01-06 16:25:45","1",0
"2018-01-08","06:30","2018-01-06 16:57:40","1",0
"2018-01-08","06:30","2018-01-06 17:43:06","1",0
"2018-01-08","06:30","2018-01-06 17:58:43","1",0
"2018-01-08","06:30","2018-01-06 17:59:30","1",0
"2018-01-08","06:30","2018-01-06 19:02:15","1",0
"2018-01-08","06:30","2018-01-06 19:04:04","1",0
"2018-01-08","06:30","2018-01-06 19:07:24","1",0.81
"2018-01-08","06:30","2018-01-06 19:39:48","1",0
"2018-01-08","06:30","2018-01-06 21:11:50","1",0
"2018-01-08","06:30","2018-01-06 21:29:13","1",0
"2018-01-08","06:30","2018-01-07 00:24:52","1",0
"2018-01-08","06:30","2018-01-07 01:37:14","1",0
"2018-01-08","06:30","2018-01-07 11:31:33","1",0
"2018-01-08","06:30","2018-01-07 11:39:45","1",0
"2018-01-08","06:30","2018-01-07 12:21:57","1",0
"2018-01-08","06:30","2018-01-07 12:32:14","1",0
"2018-01-08","06:30","2018-01-07 15:10:51","1",0.19
"2018-01-08","06:30","2018-01-07 15:29:36","1",0
"2018-01-08","06:30","2018-01-07 15:38:36","1",0
"2018-01-08","06:30","2018-01-07 15:54:28","1",0
"2018-01-08","06:30","2018-01-07 16:39:23","1",0
"2018-01-08","06:30","2018-01-07 17:47:06","1",0
"2018-01-08","06:30","2018-01-07 17:50:47","1",0
"2018-01-08","06:30","2018-01-07 18:41:04","1",0
"2018-01-08","06:30","2018-01-07 18:46:20","1",0
"2018-01-08","06:30","2018-01-07 19:46:51","1",0
"2018-01-08","06:30","2018-01-07 20:06:23","1",0
"2018-01-08","06:30","2018-01-07 20:41:22","1",0.37
"2018-01-08","06:30","2018-01-07 21:25:01","1",0
"2018-01-08","06:30","2018-01-07 21:26:11","1",0
"2018-01-08","06:30","2018-01-07 21:28:48","1",0
"2018-01-08","06:30","2018-01-07 21:29:44","1",0
"2018-01-08","06:30","2018-01-07 21:39:47","1",0.62
"2018-01-08","06:30","2018-01-07 21:48:46","1",0
"2018-01-08","07:00","2017-12-20 16:00:04","1",0.81
"2018-01-08","07:00","2018-01-04 17:10:43","1",0.81
"2018-01-08","07:00","2018-01-04 17:38:16","1",0.81
"2018-01-08","07:00","2018-01-04 18:07:42","1",0.81
"2018-01-08","07:00","2018-01-04 18:17:35","1",0.81
"2018-01-08","07:00","2018-01-04 18:29:47","1",0.81
"2018-01-08","07:00","2018-01-04 18:53:03","1",0.81
"2018-01-08","07:00","2018-01-04 19:44:50","1",0.81
"2018-01-08","07:00","2018-01-04 19:59:29","1",0.81
"2018-01-08","07:00","2018-01-04 20:45:00","1",0.81
"2018-01-08","07:00","2018-01-04 21:19:26","1",0.81
"2018-01-08","07:00","2018-01-04 21:48:18","1",0.81
"2018-01-08","07:00","2018-01-04 22:06:50","1",0.81
"2018-01-08","07:00","2018-01-05 06:07:29","1",0.81
"2018-01-08","07:00","2018-01-05 07:37:06","1",0.81
"2018-01-08","07:00","2018-01-05 07:39:47","1",0.81
"2018-01-08","07:00","2018-01-05 07:50:48","1",0.81
"2018-01-08","07:00","2018-01-05 07:54:09","1",0.75
"2018-01-08","07:00","2018-01-05 08:14:41","1",0.81
"2018-01-08","07:00","2018-01-05 08:52:38","1",0.75
"2018-01-08","07:00","2018-01-05 09:15:54","1",0.81
"2018-01-08","07:00","2018-01-05 09:17:57","1",0.81
"2018-01-08","07:00","2018-01-05 09:28:09","1",0.75
"2018-01-08","07:00","2018-01-05 09:28:58","1",0
"2018-01-08","07:00","2018-01-05 09:36:17","1",0.75
"2018-01-08","07:00","2018-01-05 09:44:29","1",0.75
"2018-01-08","07:00","2018-01-05 09:45:55","1",0.75
"2018-01-08","07:00","2018-01-05 09:54:09","1",0.75
"2018-01-08","07:00","2018-01-05 10:15:30","1",0.75
"2018-01-08","07:00","2018-01-05 10:48:18","1",0
"2018-01-08","07:00","2018-01-05 11:03:37","1",0.75
"2018-01-08","07:00","2018-01-05 11:21:11","1",0.75
"2018-01-08","07:00","2018-01-05 11:57:14","1",0
"2018-01-08","07:00","2018-01-05 12:23:48","1",0
"2018-01-08","07:00","2018-01-05 12:33:44","1",0
"2018-01-08","07:00","2018-01-05 12:47:27","1",0
"2018-01-08","07:00","2018-01-05 13:22:52","1",0
"2018-01-08","07:00","2018-01-05 13:47:24","1",0.62
"2018-01-08","07:00","2018-01-05 14:18:46","1",0
"2018-01-08","07:00","2018-01-05 14:29:38","1",0
"2018-01-08","07:00","2018-01-05 14:42:53","1",0
"2018-01-08","07:00","2018-01-05 14:54:25","1",0
"2018-01-08","07:00","2018-01-05 15:59:54","1",0
"2018-01-08","07:00","2018-01-05 16:02:08","1",0.62
"2018-01-08","07:00","2018-01-05 16:29:22","1",0.56
"2018-01-08","07:00","2018-01-05 16:32:34","1",0
"2018-01-08","07:00","2018-01-05 17:54:24","1",0
"2018-01-08","07:00","2018-01-05 21:09:55","1",0.06
"2018-01-08","07:00","2018-01-05 23:29:06","1",0
"2018-01-08","07:00","2018-01-06 12:08:11","1",0
"2018-01-08","07:00","2018-01-06 13:07:32","1",0
"2018-01-08","07:00","2018-01-06 13:20:43","1",0.5
"2018-01-08","07:00","2018-01-06 13:28:03","1",0.5
"2018-01-08","07:00","2018-01-06 14:32:56","1",0
"2018-01-08","07:00","2018-01-06 15:58:24","1",0
"2018-01-08","07:00","2018-01-06 16:25:45","1",0.5
"2018-01-08","07:00","2018-01-06 16:57:40","1",0
"2018-01-08","07:00","2018-01-06 19:02:15","1",0
"2018-01-08","07:00","2018-01-06 19:04:04","1",0
"2018-01-08","07:00","2018-01-06 19:07:24","1",0.62
"2018-01-08","07:00","2018-01-06 19:39:48","1",0
"2018-01-08","07:00","2018-01-06 21:11:50","1",0
"2018-01-08","07:00","2018-01-06 21:29:13","1",0
"2018-01-08","07:00","2018-01-07 00:24:52","1",0
"2018-01-08","07:00","2018-01-07 01:37:14","1",0.5
"2018-01-08","07:00","2018-01-07 10:59:51","1",0
"2018-01-08","07:00","2018-01-07 15:10:51","1",0
"2018-01-08","07:00","2018-01-07 15:29:36","1",0
"2018-01-08","07:00","2018-01-07 15:38:36","1",0
"2018-01-08","07:00","2018-01-07 15:54:28","1",0
"2018-01-08","07:00","2018-01-07 16:39:23","1",0
"2018-01-08","07:00","2018-01-07 17:47:06","1",0.62
"2018-01-08","07:00","2018-01-07 17:50:47","1",0
"2018-01-08","07:00","2018-01-07 18:41:04","1",0
"2018-01-08","07:00","2018-01-07 21:28:48","1",0
"2018-01-08","07:00","2018-01-07 21:29:44","1",0
"2018-01-08","07:00","2018-01-07 21:39:47","1",0
"2018-01-08","07:00","2018-01-07 21:48:46","1",0
"2018-01-08","07:00","2018-01-07 21:49:41","1",0
"2018-01-08","07:30","2017-12-20 16:00:04","1",0.81
"2018-01-08","07:30","2018-01-04 17:10:43","1",0.81
"2018-01-08","07:30","2018-01-04 17:38:16","1",0.81
"2018-01-08","07:30","2018-01-04 18:07:42","1",0.81
"2018-01-08","07:30","2018-01-04 18:17:35","1",0.81
"2018-01-08","07:30","2018-01-04 18:29:47","1",0.81
"2018-01-08","07:30","2018-01-04 18:53:03","1",0.81
"2018-01-08","07:30","2018-01-04 19:44:50","1",0.81
"2018-01-08","07:30","2018-01-04 19:59:29","1",0.81
"2018-01-08","07:30","2018-01-04 20:45:00","1",0.81
"2018-01-08","07:30","2018-01-04 21:14:34","1",0.19
"2018-01-08","07:30","2018-01-04 21:19:26","1",0.56
"2018-01-08","07:30","2018-01-04 21:48:18","1",0.81
"2018-01-08","07:30","2018-01-04 22:06:50","1",0.19
"2018-01-08","07:30","2018-01-04 22:59:07","1",0.19
"2018-01-08","07:30","2018-01-05 06:07:29","1",0.75
"2018-01-08","07:30","2018-01-05 07:37:06","1",0
"2018-01-08","07:30","2018-01-05 07:39:47","1",0.81
"2018-01-08","07:30","2018-01-05 07:50:48","1",0
"2018-01-08","07:30","2018-01-05 07:54:09","1",0
"2018-01-08","07:30","2018-01-05 08:14:41","1",0
"2018-01-08","07:30","2018-01-05 08:52:38","1",0
"2018-01-08","07:30","2018-01-05 09:15:54","1",0
"2018-01-08","07:30","2018-01-05 09:17:57","1",0
"2018-01-08","07:30","2018-01-05 09:28:09","1",0
"2018-01-08","07:30","2018-01-05 09:28:58","1",0
"2018-01-08","07:30","2018-01-05 09:36:17","1",0
"2018-01-08","07:30","2018-01-05 09:44:29","1",0
"2018-01-08","07:30","2018-01-05 09:45:55","1",0
"2018-01-08","07:30","2018-01-05 09:54:09","1",0
"2018-01-08","07:30","2018-01-05 10:15:30","1",0
"2018-01-08","07:30","2018-01-05 10:48:18","1",0
"2018-01-08","07:30","2018-01-05 11:03:37","1",0
"2018-01-08","07:30","2018-01-05 11:21:11","1",0
"2018-01-08","07:30","2018-01-05 11:57:14","1",0
"2018-01-08","07:30","2018-01-05 12:23:48","1",0
"2018-01-08","07:30","2018-01-05 12:33:44","1",0
"2018-01-08","07:30","2018-01-05 12:47:27","1",0
"2018-01-08","07:30","2018-01-05 13:22:52","1",0
"2018-01-08","07:30","2018-01-05 13:27:39","1",0
"2018-01-08","07:30","2018-01-05 14:29:38","1",0
"2018-01-08","07:30","2018-01-05 14:42:53","1",0
"2018-01-08","07:30","2018-01-05 14:54:25","1",0
"2018-01-08","07:30","2018-01-05 15:59:54","1",0
"2018-01-08","07:30","2018-01-05 16:02:08","1",0
"2018-01-08","07:30","2018-01-05 16:29:22","1",0
"2018-01-08","07:30","2018-01-05 16:32:34","1",0
"2018-01-08","07:30","2018-01-05 17:54:24","1",0
"2018-01-08","07:30","2018-01-05 17:55:50","1",0
"2018-01-08","07:30","2018-01-06 12:08:11","1",0
"2018-01-08","07:30","2018-01-06 13:07:32","1",0
"2018-01-08","07:30","2018-01-06 14:32:56","1",0
"2018-01-08","07:30","2018-01-06 15:58:24","1",0
"2018-01-08","07:30","2018-01-06 16:25:45","1",0
"2018-01-08","07:30","2018-01-06 16:57:40","1",0
"2018-01-08","07:30","2018-01-06 17:43:06","1",0
"2018-01-08","07:30","2018-01-06 17:58:43","1",0
"2018-01-08","07:30","2018-01-06 17:59:30","1",0
"2018-01-08","07:30","2018-01-06 19:07:24","1",0.06
"2018-01-08","07:30","2018-01-06 19:39:48","1",0
"2018-01-08","07:30","2018-01-06 21:11:50","1",0
"2018-01-08","07:30","2018-01-06 21:29:13","1",0
"2018-01-08","07:30","2018-01-07 10:59:51","1",0
"2018-01-08","07:30","2018-01-07 11:31:33","1",0
"2018-01-08","07:30","2018-01-07 15:10:51","1",0
"2018-01-08","07:30","2018-01-07 15:29:36","1",0
"2018-01-08","07:30","2018-01-07 15:38:36","1",0
"2018-01-08","07:30","2018-01-07 15:54:28","1",0
"2018-01-08","07:30","2018-01-07 16:39:23","1",0
"2018-01-08","07:30","2018-01-07 17:47:06","1",0
"2018-01-08","07:30","2018-01-07 17:50:47","1",0
"2018-01-08","07:30","2018-01-07 21:26:11","1",0
"2018-01-08","07:30","2018-01-07 21:28:48","1",0
"2018-01-08","07:30","2018-01-07 21:29:44","1",0
"2018-01-08","07:30","2018-01-07 21:39:47","1",0
"2018-01-08","07:30","2018-01-07 21:48:46","1",0
"2018-01-08","07:30","2018-01-07 21:49:41","1",0
"2018-01-08","07:30","2018-01-08 06:41:11","1",0
"2018-01-08","08:00","2017-12-20 16:00:04","1",0.81
"2018-01-08","08:00","2018-01-04 17:10:43","1",0.62
"2018-01-08","08:00","2018-01-04 17:38:16","1",0.62
